Area of Residence,Year,Age at Death,Female,Male,_Total
Arklow Town,2007,1 - 4 years,0,0,0
Arklow Town,2007,10 - 14 years,0,0,0
Arklow Town,2007,15 - 19 years,0,0,0
Arklow Town,2007,20 - 24 years,0,2,2
Arklow Town,2007,25 - 29 years,1,0,1
Arklow Town,2007,30 - 34 years,0,1,1
Arklow Town,2007,35 - 39 years,1,2,3
Arklow Town,2007,40 - 44 years,0,0,0
Arklow Town,2007,45 - 49 years,1,0,1
Arklow Town,2007,5 - 9 years,0,0,0
Arklow Town,2007,50 - 54 years,0,2,2
Arklow Town,2007,55 - 59 years,2,1,3
Arklow Town,2007,60 - 64 years,1,2,3
Arklow Town,2007,65 - 69 years,4,7,11
Arklow Town,2007,70 - 74 years,8,9,17
Arklow Town,2007,75 - 79 years,7,10,17
Arklow Town,2007,80 - 84 years,10,9,19
Arklow Town,2007,85 years and over,16,8,24
Arklow Town,2007,Under 1 year,0,0,0
Arklow Town,2008,1 - 4 years,0,0,0
Arklow Town,2008,10 - 14 years,0,0,0
Arklow Town,2008,15 - 19 years,0,1,1
Arklow Town,2008,20 - 24 years,1,1,2
Arklow Town,2008,25 - 29 years,1,0,1
Arklow Town,2008,30 - 34 years,0,1,1
Arklow Town,2008,35 - 39 years,2,1,3
Arklow Town,2008,40 - 44 years,3,1,4
Arklow Town,2008,45 - 49 years,1,2,3
Arklow Town,2008,5 - 9 years,0,1,1
Arklow Town,2008,50 - 54 years,2,1,3
Arklow Town,2008,55 - 59 years,4,1,5
Arklow Town,2008,60 - 64 years,1,6,7
Arklow Town,2008,65 - 69 years,4,3,7
Arklow Town,2008,70 - 74 years,1,6,7
Arklow Town,2008,75 - 79 years,2,7,9
Arklow Town,2008,80 - 84 years,7,11,18
Arklow Town,2008,85 years and over,11,8,19
Arklow Town,2008,Under 1 year,0,1,1
Arklow Town,2009,1 - 4 years,0,0,0
Arklow Town,2009,10 - 14 years,0,0,0
Arklow Town,2009,15 - 19 years,1,1,2
Arklow Town,2009,20 - 24 years,1,1,2
Arklow Town,2009,25 - 29 years,1,1,2
Arklow Town,2009,30 - 34 years,0,1,1
Arklow Town,2009,35 - 39 years,2,1,3
Arklow Town,2009,40 - 44 years,3,2,5
